investigation_id,claim_id,status,priority,reason,final_decision
INV000001,CL013168,IN_PROGRESS,HIGH,policy created shortly before incident; claim amount high relative to vehicle value,
INV000002,CL028281,CLOSED,HIGH,policy created shortly before incident; claim amount high relative to vehicle value,APPROVE
INV000003,CL000626,CLOSED,MEDIUM,policy created shortly before incident,REJECT
INV000004,CL007462,CLOSED,HIGH,policy created shortly before incident; short interval since previous claim; repair shop has an elevated historical investigation rate,REQUEST_DOCUMENTS
INV000005,CL001729,IN_PROGRESS,MEDIUM,policy created shortly before incident; repair shop has an elevated historical investigation rate,
INV000006,CL007154,CLOSED,MEDIUM,policy created shortly before incident; repair shop has an elevated historical investigation rate,APPROVE
INV000007,CL000686,CLOSED,MEDIUM,policy created shortly before incident; repair shop has an elevated historical investigation rate,APPROVE
INV000008,CL010455,IN_PROGRESS,MEDIUM,policy created shortly before incident; claim amount high relative to vehicle value; short interval since previous claim,
INV000009,CL005093,CLOSED,MEDIUM,policy created shortly before incident,APPROVE
INV000010,CL004838,CLOSED,HIGH,claim amount high relative to vehicle value,INVESTIGATE_FURTHER
INV000011,CL025026,CLOSED,LOW,short interval since previous claim,INVESTIGATE_FURTHER
INV000012,CL017002,IN_PROGRESS,MEDIUM,claim amount high relative to vehicle value; short interval since previous claim; repair shop has an elevated historical investigation rate,
INV000013,CL002282,CLOSED,LOW,policy created shortly before incident; short interval since previous claim,APPROVE
INV000014,CL002786,IN_PROGRESS,HIGH,repair shop has an elevated historical investigation rate,
INV000015,CL028179,CLOSED,HIGH,short interval since previous claim,REJECT
INV000016,CL019464,IN_PROGRESS,MEDIUM,multiple previous claims on record; short interval since previous claim,
INV000017,CL018532,CLOSED,LOW,claim amount high relative to vehicle value; short interval since previous claim,INVESTIGATE_FURTHER
INV000018,CL002572,CLOSED,HIGH,short interval since previous claim; repair shop has an elevated historical investigation rate,APPROVE
INV000019,CL013160,IN_PROGRESS,LOW,claim amount high relative to vehicle value; repair shop has an elevated historical investigation rate,
